secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,90,0.361254,2718.367,386.5583,0.017356,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,80,0.339968,2858.943,265.5256,0.020391,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,75,0.327053,2912.351,222.2547,0.020754,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,70,0.313548,2958.734,186.0717,0.020678,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,60,0.286324,3035.886,129.3596,0.019974,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,55,0.273044,3068.481,107.0306,0.019387,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,50,0.26019,3098.003,87.89141,0.018616,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,45,0.247907,3125.046,71.4907,0.017735,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,40,0.236253,3150.18,57.43839,0.016867,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,35,0.225116,3173.925,45.38039,0.016146,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,30,0.214333,3196.766,35.02969,0.01553,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,25,0.20389,3219.328,26.18425,0.014862,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,20,0.193937,3242.635,18.69303,0.013945,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,65,0.299879,2999.569,155.4514,0.020387,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,15,0.185262,3269.092,12.45933,0.012443,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,10,0.179546,3304.72,7.374747,0.011221,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,85,0.351673,2796.032,318.4748,0.019299,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-10,0.411728,2674.817,18.16002,0.045529,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-15,0.390273,2769.007,28.27929,0.037016,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-20,0.370332,2841.917,38.57533,0.031474,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-25,0.351793,2901.601,48.96476,0.028203,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
108105,2-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-30,0.334228,2952.198,59.36962,0.026114,1.41,1.27,1.13,0.95,0.89,0.84,0.85,0.88,1.01,1.1,1.66,3090.23
