secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,90,0.247185,1169.448,112.8402,0.009174,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,85,0.242257,1191.785,93.24032,0.009215,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,75,0.23179,1224.548,66.51743,0.008245,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,65,0.222326,1249.485,48.39927,0.006789,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,55,0.213759,1270.59,35.0248,0.006204,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,60,0.217983,1260.369,41.25748,0.006493,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,45,0.205394,1289.775,24.66684,0.006218,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,80,0.236985,1209.552,78.40299,0.008839,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,35,0.197219,1308.317,16.50951,0.005838,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,70,0.226847,1237.68,56.68585,0.007478,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,30,0.193018,1317.737,13.08453,0.006025,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,25,0.188777,1327.561,10.04523,0.006145,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,40,0.201173,1299.035,20.33795,0.005908,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,50,0.209699,1280.343,29.55018,0.006119,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,20,0.18459,1338.196,7.365614,0.007238,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,15,0.180634,1350.404,5.02567,0.01074,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,10,0.178322,1366.457,3.028767,0.017637,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
